,PLAYER,SEASON,season year,AGE,POS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
174,Yoav David,1,2022,25,PG,29,3,8.8,0.341,3,7.4,0.405,0,1.4,0,0.511,1,1.4,0.714,0.2,1,1.2,2,1,0.6,1,1.8,10,8.6,0.531,0.841,0.159,0.7,3.7,2.2,10,1.7,1.9,9.6,15.5,0,0.1,0.1,0.033,-2.8,-0.4,-3.2,0
175,Yoav David,0,2021,24,PG,9.3,1.4,3.5,0.393,0.8,2,0.375,0.6,1.5,0.417,0.5,0.8,0.9,0.857,0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,4.3,11.2,0.547,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.3,0,0.1,0.1,0.057,-4,1,-3.1,0
176,Yitzik Avraham,1,2014,24,C,14.6,1.4,3.3,0.434,0,0,0,1.4,3.3,0.434,0.434,0.8,1.1,0.765,1.7,3.2,4.9,0.1,0.4,0.8,0.6,2.3,3.7,12.5,0.488,0,0.321,13,24.8,18.9,1.3,1.5,4.4,13,13.5,0.1,0.4,0.5,0.096,-3.5,-0.4,-3.8,-0.1
177,Yitzik Avraham,0,2014,24,C,13.6,1.4,2.6,0.517,0,0,0,1.4,2.6,0.517,0.517,0.6,1.2,0.538,1,3.5,4.5,0.3,0,0.8,0.8,2.5,3.4,8.7,0.533,0,0.448,7.6,28.5,17.6,2.9,0,4.8,20.6,12.3,0,0.1,0.1,0.035,-5.8,0,-5.8,-0.1
178,Yaar Cohen,0,2014,25,C,1.5,0,0.5,0,0,0,0,0,0.5,0,0,0,1,0,1.5,0,1.5,0,0,0,0,0,0,13.1,0,0,2,100,0,57.9,0,0,0,0,28.5,0,0,0,-0.18,1.8,-26.1,-24.3,0
179,Lior Levy,1,2019,22,C,13.1,1.7,2.4,0.682,0,0.1,0,1.7,2.3,0.714,0.682,0.7,1.1,0.6,1.1,2.9,4,0.6,0.3,0.6,0.3,1.3,4,15.6,0.682,0.045,0.455,8.7,23.7,16,5.8,1.2,3.7,10.2,10.1,0.3,0.1,0.4,0.145,-1.5,-0.6,-2,0
180,Amir Cohen,0,2007,23,SF,8.3,1,2.5,0.4,0,0.3,0,1,2.2,0.462,0.4,0.8,1,0.833,0.5,0.8,1.3,0.3,0,0,0.2,0.3,2.8,11.6,0.482,0.133,0.4,7.1,12.2,9.6,6.8,0,0,5.4,17.1,0.1,0,0.1,0.064,-0.2,-3.1,-3.3,0
181,Matan Mor,1,2013,26,PF,7.2,1,1.9,0.522,0,0,0,1,1.9,0.522,0.522,0.4,0.8,0.556,0.3,0.8,1.1,0.3,0.1,0.5,0.2,0.4,2.4,,,,,,,,,,,,,,,,,,,,
182,Niv Nahmani,0,2013,27,SF,6,0,1.5,0,0,0,0,0,1.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,0,0,0,-6,0,0,0.667,9.5,9.1,9.3,11.5,0,0,0,14.7,-0.1,0,-0.1,-0.239,-9.1,-5.1,-14.2,0
183,Udi Uziel,1,2021,23,PF,13.8,1.9,2.7,0.714,0,0,0,1.9,2.7,0.714,0.714,1.8,2.6,0.676,1.8,2.9,4.8,0.8,0.4,0.8,0.6,1.4,5.6,22.3,0.731,0,0.971,13.5,22.8,18,9.4,1.4,5.1,13.8,14,0.6,0.2,0.8,0.223,0.9,0.6,1.6,0.2
184,Udi Uziel,0,2021,23,PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
185,Udi Uziel,0,2020,22,PF,12,0.3,1,0.25,0,0,0,0.3,1,0.25,0.25,1,1.5,0.667,1.5,2.3,3.8,0.5,0.3,0.3,0.5,2.3,1.5,7.3,0.452,0,1.5,14,21.6,17.7,5.3,1,1.7,23.1,7.9,0,0,0.1,0.067,-5.7,-1.3,-7,-0.1
186,Dima David,0,2007,36,SG,11.7,0.7,2.4,0.294,0.1,0.9,0.167,0.6,1.6,0.364,0.324,0.3,0.4,0.667,0.4,1.1,1.6,1.1,0.4,0.1,0.7,1.6,1.9,4.1,0.355,0.353,0.176,4.4,11.6,8,14.6,1.9,0.9,21.4,13.1,-0.1,0.1,-0.1,-0.031,-5.8,0.6,-5.2,-0.1
187,Yossi David,0,2020,22,PF,21.7,3.4,7.9,0.437,1.2,3.8,0.324,2.2,4.1,0.541,0.514,0.9,1.2,0.727,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9,12.1,0.534,0.479,0.155,8.6,21.3,14.7,15.2,1,1.8,17.4,20.1,0,0.1,0.1,0.027,-2.5,-1.2,-3.7,-0.1
188,Zalman Zarchi,0,2022,24,C,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6,9,0.675,0.656,1.8,2.3,0.784,3,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,19.9,0.678,0.071,0.241,10.8,21,15.7,9.1,1.4,1.5,13,18,1.6,0.3,2,0.144,0.8,-2.3,-1.5,0.1
189,Zalman Zarchi,0,2022,24,C,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6,9,0.675,0.656,1.8,2.3,0.784,3,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,19.9,0.678,0.071,0.241,10.8,21,15.7,9.1,1.4,1.5,13,18,1.6,0.3,2,0.144,0.8,-2.3,-1.5,0.1
190,Zalman Zarchi,0,2022,24,C,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6,9,0.675,0.656,1.8,2.3,0.784,3,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,19.9,0.678,0.071,0.241,10.8,21,15.7,9.1,1.4,1.5,13,18,1.6,0.3,2,0.144,0.8,-2.3,-1.5,0.1
191,Dan David,1,2014,32,C,18,3.5,6.5,0.531,0.3,0.8,0.412,3.1,5.7,0.548,0.556,1.1,1.2,0.889,1.7,3.5,5.2,0.7,0.5,0.3,0.8,2.4,8.3,18.4,0.591,0.119,0.189,10.7,23,16.7,6.3,1.3,1.5,9.9,19.7,0.9,0.6,1.4,0.173,0.6,-0.2,0.4,0.2
192,Yaakov David,0,2020,26,SG,6.5,2,4.5,0.444,1,1.5,0.667,1,3,0.333,0.556,1,1,1,0,0.5,0.5,0,0,0,0,0.5,6,21.3,0.607,0.333,0.222,0,8,4.1,0,0,0,0,31.6,0,0,0,0.146,5.1,-2.1,3.1,0
193,Yaakov David,0,2019,25,SG,13,1.5,6,0.25,0,2.5,0,1.5,3.5,0.429,0.25,1,1,1,0,0.5,0.5,2.5,0.5,0,0.5,0.5,4,4.5,0.311,0.417,0.167,0,4.4,2.2,28.8,1.9,0,7.2,23.9,-0.1,0,-0.1,-0.125,-6.5,-3.2,-9.7,-0.1
194,Jonathan Joffe,0,2010,26,PF,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.4,,,,0,30.5,16.1,0,0,0,,0,0,0,0,0.045,-5.1,0.6,-4.4,0
195,Jonathan Joffe,0,2010,26,PF,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.4,,,,0,30.5,16.1,0,0,0,,0,0,0,0,0.045,-5.1,0.6,-4.4,0
196,Zelig Zand,0,2015,25,PG,20.5,3,6.7,0.45,1.2,1.8,0.636,1.8,4.8,0.379,0.538,1.5,1.7,0.9,0.3,1.7,2,2.3,0.5,0,2,0.5,8.7,13.1,0.586,0.275,0.25,1.7,9.3,5.4,18.4,1.2,0,21.3,20.4,0.1,0,0.1,0.027,-0.2,-2.3,-2.6,0
197,Mor Moshe,1,2015,33,C,8.9,0.8,2.4,0.308,0.1,0.3,0.5,0.6,2.2,0.286,0.333,0.4,0.8,0.5,0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2,5,0.361,0.103,0.308,10.6,10.8,10.7,4.9,1.4,1.1,10.1,15.1,-0.1,0.1,0,-0.011,-6.6,-0.8,-7.4,-0.2
198,Mor Moshe,0,2011,29,C,12.1,2.4,5.3,0.459,0,0,0,2.4,5.3,0.459,0.459,0.3,0.3,1,1.7,1.4,3.1,0.6,0.3,0.3,0.3,1.4,5.1,17.3,0.475,0,0.054,16,14.1,15.1,9.2,1.3,1.9,5,22,0.1,0.1,0.2,0.13,0.6,-0.6,0,0
199,Mor Moshe,0,2010,28,C,33.1,4.3,9.7,0.441,0,0,0,4.3,9.7,0.441,0.441,3.1,4.1,0.759,4.4,6.6,11,1.1,0.6,0.6,1.6,3.4,11.7,14.7,0.508,0,0.426,14.9,22.9,18.9,5.2,0.9,1.3,12,17.9,0.3,0.2,0.4,0.091,-1.5,-2.9,-4.5,-0.1
200,Pinchas Pardo,1,2012,35,PG,13.9,1.5,4.5,0.333,0.3,1.1,0.222,1.3,3.4,0.37,0.361,1.6,1.9,0.867,0,1.4,1.4,2.1,0.1,0,0.9,0.6,4.9,10.3,0.458,0.25,0.417,0,11.6,5.7,23,0.5,0,14.1,20.3,0,0,0.1,0.029,-2.2,-1.9,-4,-0.1
201,Zeev Zvulun,1,2015,27,PF,9.3,1.1,3,0.367,0.4,1.4,0.286,0.7,1.6,0.438,0.433,0.1,0.4,0.25,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7,6.7,0.425,0.467,0.133,1.2,26.5,13.9,5,1.7,3.5,15.9,18.5,-0.2,0.1,-0.1,-0.037,-6.4,-0.1,-6.5,-0.1
202,Zeev Zvulun,0,2014,26,PF,7.8,0.8,2.3,0.333,0.1,0.7,0.167,0.7,1.7,0.4,0.357,0.9,1.1,0.8,0.2,1.6,1.8,0.2,0.1,0.7,0.1,0.7,2.6,13.5,0.453,0.286,0.476,3.3,24.2,13.4,4.3,0.8,7.6,3.8,17.5,0,0.1,0.1,0.08,-2.4,-0.4,-2.7,0
203,Idan Avraham,0,2009,30,PG,7.2,1,1.5,0.667,0.3,0.5,0.667,0.7,1,0.667,0.778,0,0,0,0,0.7,0.7,1.8,0.5,0.2,0.8,1.7,2.3,15.5,0.778,0.333,0,0,11.5,5.5,41.2,3.6,1.9,35.7,14.6,0.1,0.1,0.1,0.155,-1.7,3,1.3,0
204,Eran Erez,0,2012,25,SF,13,1.3,4.5,0.278,0.3,1.3,0.2,1,3.3,0.308,0.306,0.8,0.8,1,0.5,2,2.5,0.3,0.3,0.3,0.3,0.3,3.5,7.3,0.362,0.278,0.167,4.3,17.5,10.9,2.9,1,1.5,4.9,17.5,-0.1,0,0,-0.026,-2.4,-1.5,-3.9,0
205,Yitzhak Cohen,1,2015,27,SG,19.7,1.7,5.1,0.34,0.6,1.9,0.311,1.1,3.1,0.358,0.399,1.2,1.8,0.674,0.6,2.6,3.2,1.2,1.2,0.3,1.4,2.6,5.3,7.9,0.45,0.378,0.361,3.5,15.2,9.4,9.7,3.2,1.4,19.5,17,-1,1.4,0.4,0.02,-5.1,2.1,-3.1,-0.3
206,Pinchas Peretz,0,2016,26,PG,9,0.4,2,0.2,0.2,0.8,0.25,0.2,1.2,0.167,0.25,0.6,0.8,0.75,0.2,0.6,0.8,0.8,0,0,0.2,0.4,1.6,3.3,0.34,0.4,0.4,2.4,7.9,5.1,12.4,0,0,7.8,12.7,0,0,0,-0.046,-5.3,-2.6,-7.9,-0.1
207,Pinchas Peretz,0,2015,25,SG,9.6,1,3,0.333,0.4,1.4,0.273,0.6,1.6,0.385,0.396,0,0.3,0,0,0.6,0.6,1,0.3,0,0,1.4,2.4,5.6,0.382,0.458,0.083,0,7.4,3.7,15.2,1.4,0,0,14.7,0,0,0,0.012,-5.8,-0.6,-6.4,-0.1
208,Pinchas Peretz,0,2015,25,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
209,Pinchas Peretz,0,2015,25,SG,8.4,1.2,2.6,0.462,1,1.4,0.714,0.2,1.2,0.167,0.654,0.2,0.4,0.5,0,0.6,0.6,0.8,0.4,0,0.8,0.2,3.6,14.4,0.648,0.538,0.154,0,8.2,4.1,16.1,2.5,0,22.4,19.5,0,0,0.1,0.09,3.1,0.6,3.6,0.1
210,Ido Itach,0,2022,25,PF,6,0,1.7,0,0,0,0,0,1.7,0,0,0,0,0,2.7,2.3,5,0.7,0.3,0,1.7,1.3,0,-0.1,0,0,0,48.9,40.6,44.7,12.2,2.7,0,50,23.9,-0.1,0,-0.1,-0.256,-13,-5.3,-18.3,-0.1
211,Ido Itach,0,2019,22,PF,3,0,1,0,0,0,0,0,1,0,0,1,2,0.5,1,0,1,1,0,0,0,0,1,18.4,0.266,0,2,35.4,0,17.7,40.5,0,0,0,26.8,0,0,0,0.045,5.9,-3.9,2.1,0
212,Ido Itach,0,2019,22,PF,10,2,3,0.667,0,0,0,2,3,0.667,0.667,0.5,1,0.5,1,2,3,0.5,1.5,0,1,2,4.5,19.9,0.654,0,0.333,10.9,22.5,16.6,8,7.2,0,22.5,19.1,0,0,0.1,0.127,-1.1,3.4,2.3,0
213,Fadi Fadel,1,2018,35,C,13.6,1.8,3.7,0.505,0,0,0,1.8,3.7,0.505,0.505,0.7,0.8,0.818,1.8,2.8,4.6,0.3,0.3,1,0.5,1.2,4.4,16.4,0.545,0,0.232,14.9,21.7,18.4,3.1,1.1,5.6,11,14.4,0.5,0.5,1,0.14,-1.1,-0.2,-1.2,0.1
214,Yishay Avraham,0,2022,25,PG,5.5,0,1,0,0,0,0,0,1,0,0,1.5,2,0.75,0,0,0,2,0.5,0,0.5,0.5,1.5,12.3,0.399,0,2,0,0,0,43.4,4.4,0,21,18.6,0,0,0,0.023,-2.7,1.5,-1.2,0
215,Shachar Shalev,0,2012,27,C,9.8,1.8,3,0.583,0,0,0,1.8,3,0.583,0.583,0.3,0.5,0.5,1.3,1.3,2.5,0,0.3,0.5,0.8,1.5,3.8,14.6,0.582,0,0.167,15,14.4,14.7,0,1.3,3.7,18.9,18.6,0,0.1,0.1,0.106,-3.2,-2.7,-5.9,0
216,Kobi Kadosh,0,2020,25,C,19,2,3,0.667,0,0,0,2,3,0.667,0.667,2,2,1,2,5,7,0,0,0,0,5,6,13.9,0.773,0,0.667,11.6,30.4,20.7,0,0,0,0,8.9,0.1,0,0.1,0.218,-1.9,-1.5,-3.4,0
217,Yaakov Cohen,1,2019,27,PF,9.5,0.8,1.8,0.429,0.3,0.3,1,0.5,1.5,0.333,0.5,0,0,0,1,3.3,4.3,1,0.3,0.3,1.3,2,1.8,7.1,0.5,0.143,0,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,-0.1,0.1,0,0.026,-6.7,2.3,-4.5,0
218,Yaniv Yitzhak,1,2012,36,C,5.5,0.1,0.5,0.125,0,0,0,0.1,0.5,0.125,0.125,0,0,0,0.7,1,1.7,0.3,0.1,0.3,0.2,0.6,0.1,5.5,0.125,0,0,14.3,21,17.7,6.5,0.6,3.7,27.3,6.2,-0.1,0.1,0.1,0.035,-4.9,0.2,-4.7,-0.1
219,Yiftach Cohen,0,2016,24,PG,5.8,0.8,2,0.417,0.2,0.7,0.25,0.7,1.3,0.5,0.458,0.3,0.3,1,0.5,0.3,0.8,0.3,0.2,0,0,0.7,2.2,14.7,0.505,0.333,0.167,10.1,6.7,8.3,9.6,1.5,0,0,17,0.1,0,0.1,0.162,-0.4,-0.2,-0.6,0
220,Ofek Levi,0,2022,33,PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
221,Dvir Cohen,0,2022,22,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
222,Yaniv Yagur,0,2012,35,C,3.2,0.2,0.6,0.333,0,0,0,0.2,0.6,0.333,0.333,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0.4,6.3,0.333,0,0,0,7,3.5,8.8,3.3,4.7,25,11.7,0,0,0,-0.026,-5.1,2.7,-2.5,0
223,Jonathan Levy,1,2009,29,SF,28.8,2.5,6.1,0.407,1,2.8,0.367,1.4,3.3,0.441,0.492,1.3,1.6,0.815,0.4,2,2.4,3.6,1,0.2,1.3,2.2,7.3,10.4,0.536,0.464,0.256,1.7,8.2,4.9,19.1,1.8,0.5,15.8,12.8,1.1,0.5,1.6,0.052,-2.3,-0.4,-2.7,-0.3
224,Gabi Avraham,0,2022,24,PF,13.2,1,2.4,0.409,0,0.1,0,1,2.3,0.429,0.409,0.3,0.8,0.429,1.4,2.6,4,0.6,0.3,1,0.6,2,2.3,9.5,0.419,0.045,0.318,11.5,20.5,16,5.9,1.2,6.9,16.6,10.9,-0.1,0.2,0.1,0.049,-5.6,1,-4.6,-0.1
225,Gabi Avraham,1,2021,23,PF,19.6,2.2,4.2,0.524,0,0,0,2.2,4.2,0.524,0.524,1.2,1.7,0.697,2.1,2.8,4.9,0.5,0.7,1,0.6,2.2,5.6,13.4,0.563,0,0.393,11.4,16,13.6,3.2,1.6,5.1,10.9,12.2,0.5,0.5,0.9,0.116,-3.1,-0.1,-3.2,-0.1
226,Erez Ezra,0,2011,24,SG,9.2,0.8,2.3,0.333,0.3,1.1,0.3,0.4,1.2,0.364,0.405,0,0.4,0,0,0.7,0.7,0.7,0.1,0.1,0.2,0.9,1.9,3.1,0.373,0.476,0.19,0,8.6,4.2,11.6,0.6,0.9,8.1,14,-0.1,0.1,0,-0.019,-6.4,0,-6.4,-0.1
227,Erez Ezra,1,2010,23,SG,14.8,2.2,4.9,0.438,0.8,1.8,0.435,1.4,3.2,0.439,0.516,1.1,1.6,0.667,0.2,0.8,1.1,0.9,0.6,0.2,0.8,1.9,6.2,11.1,0.546,0.359,0.328,1.9,6.6,4.3,9.5,2.2,0.7,13.1,20,0.1,0.2,0.3,0.086,-2.7,0.9,-1.8,0
228,Erez Ezra,0,2010,23,SG,4.6,0.6,1.6,0.375,0,0.4,0,0.6,1.2,0.5,0.375,1,1,1,0.2,0.4,0.6,0.4,0.2,0,0.4,0.2,2.2,15.4,0.539,0.25,0.625,4.9,10.1,7.5,13.2,2.2,0,16.4,23.5,0,0,0,0.078,0,0.5,0.5,0
229,Erez Ezra,0,2010,23,SG,13.1,1.4,3.2,0.448,0.3,1.3,0.25,1.1,1.9,0.588,0.5,1.8,2.7,0.667,0.2,1.3,1.6,0.8,0.4,0.4,1.6,1.8,5,8.6,0.569,0.414,0.828,1.9,12.1,6.8,8.9,1.7,2.5,26.1,20.1,-0.1,0.1,0,0.004,-5.2,-0.3,-5.5,-0.1
230,Tomer Tzafrir,1,2020,25,SF,14.8,1.3,3.1,0.419,0.9,2.5,0.35,0.4,0.6,0.714,0.561,0.1,0.1,1,1.1,1.8,2.9,0.2,0.2,0.6,0.3,1,3.6,10.1,0.571,0.811,0.041,7.6,13.8,10.6,1.9,0.5,3.8,9.6,10.1,0.3,0.3,0.6,0.087,-1.7,-0.9,-2.6,-0.1
231,Ilan Izraeli,0,2017,32,SG,9,0,3.5,0,0,1,0,0,2.5,0,0,2,2,1,0,0.5,0.5,0.5,0,0,0,0.5,2,-4.3,0.228,0.286,0.571,0,6,3.1,7.1,0,0,0,21.2,-0.1,0,-0.1,-0.189,-10.6,-5.4,-15.9,-0.1
232,Gal Levi,1,2021,28,PG,4,1,1.3,0.769,0.2,0.4,0.5,0.8,0.9,0.889,0.846,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5,,,,,,,,,,,,,,,,,,,,
233,Gal Levi,0,2019,26,PG,5.3,1.7,2.7,0.625,0.3,0.7,0.5,1.3,2,0.667,0.688,0,0,0,0.3,0.3,0.7,1.3,1,0.3,0.3,0.7,3.7,,,,,,,,,,,,,,,,,,,,
234,Ran Rabinowitz,0,2022,28,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
235,Roy Rabin,0,2022,23,SF,41.5,6.5,14,0.464,2,5.5,0.364,4.5,8.5,0.529,0.536,2.5,5.3,0.476,0.5,2.8,3.3,3,2.5,0.3,4,2.8,17.5,,,,,,,,,,,,,,,,,,,,
236,Dani Cohen,1,2018,20,C,4,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,2,58.1,1,0,0,27.5,0,13.6,0,24.9,0,0,11,0,0,0.1,0.675,20.2,19.7,39.9,0
237,Dvir Davidi,0,2022,31,C,8.7,1.3,1.7,0.8,0,0,0,1.3,1.7,0.8,0.8,1.3,2.3,0.571,2,1,3,1,0,0.3,0,2,4,27,0.743,0,1.4,26.1,12.2,19,16.7,0,3.4,0,13.5,0.2,0,0.2,0.39,4.6,-0.3,4.4,0
238,Dvir Davidi,0,2022,31,C,14,2.2,4.4,0.5,0,0,0,2.2,4.4,0.5,0.5,1,1.8,0.556,2.2,2,4.2,0.4,0.6,0.4,0.6,1.4,5.4,16,0.52,0,0.409,17,14.8,15.9,4,2.1,2.8,10.4,17.7,0.1,0.1,0.2,0.119,-2.2,-2.3,-4.5,0
239,Dvir Davidi,0,2022,31,C,9,2,4,0.5,0,0,0,2,4,0.5,0.5,0,0,0,3.5,1.5,5,0.5,0.5,0.5,1,1,4,25.1,0.5,0,0,43.8,18.2,30.8,9,2.7,4.7,20,24.7,0,0,0.1,0.135,-0.1,-4.3,-4.4,0
240,Dvir Davidi,0,2022,31,C,20.3,3.3,5.5,0.591,0,0,0,3.3,5.5,0.591,0.591,0.8,1.8,0.429,1.5,4.5,6,4,1,1.5,1.8,2.3,7.3,18.9,0.578,0,0.318,7.8,24.4,15.9,28.1,2.3,7.1,21.8,16.6,0.1,0.1,0.3,0.149,-0.3,4.8,4.5,0.1
241,Dvir Davidi,0,2019,28,C,2.5,1.5,2.5,0.6,0,0,0,1.5,2.5,0.6,0.6,0,0,0,1.5,0,1.5,0.5,0,0,0,0,3,60.2,0.6,0,0,63.9,0,32,73.4,0,0,0,43.1,0.1,0,0.1,0.534,28,-2.8,25.2,0
242,Ariel Levi,1,2016,25,PF,10.7,1,1.8,0.563,0,0,0,1,1.8,0.563,0.563,0.4,0.9,0.412,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,2.4,,,,,,,,,,,,,,,,,,,,
243,Ziv Zohar,0,2022,25,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
244,Beni Avraham,1,2022,25,SF,8.6,0.8,2.4,0.348,0.5,1.5,0.321,0.4,0.9,0.389,0.446,0.1,0.3,0.4,0.5,0.8,1.4,0.3,0.1,0.2,0.2,0.7,2.3,7,0.446,0.609,0.109,7.1,10.9,9,5.1,0.6,1.9,5.9,14,0,0.2,0.1,0.041,-3.3,-1.3,-4.6,-0.1
245,Beni Avraham,0,2022,25,SF,8.6,0.8,2.4,0.348,0.5,1.5,0.321,0.4,0.9,0.389,0.446,0.1,0.3,0.4,0.5,0.8,1.4,0.3,0.1,0.2,0.2,0.7,2.3,7,0.446,0.609,0.109,7.1,10.9,9,5.1,0.6,1.9,5.9,14,0,0.2,0.1,0.041,-3.3,-1.3,-4.6,-0.1
246,Kurtz Kobi,0,2021,24,PF,19,2.5,7,0.357,1,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2,0.75,1.5,4.5,6,2.5,0,0,0,3.5,7.5,12.8,0.476,0.643,0.286,8.4,27,17.4,18.9,0,0,0,17.9,0.1,0,0.1,0.127,-1.7,-0.1,-1.8,0
247,Kurtz Kobi,1,2019,22,PF,13.8,2.1,5,0.412,0.9,2,0.441,1.2,3,0.392,0.5,1,1.4,0.739,0.3,3.1,3.4,0.9,0.4,0.1,0.5,1.5,6,12.9,0.536,0.4,0.271,2.2,23.8,12.7,10,1.4,0.7,8.6,19,0.1,0.2,0.3,0.07,-1.4,-0.5,-1.9,0
248,David Daniel,1,2016,25,C,18.8,2.4,5.5,0.429,0,0,0,2.4,5.5,0.429,0.429,1.8,2.1,0.833,1.5,3.6,5.1,0.6,0.6,1,0.9,2.6,6.5,13.9,0.504,0,0.39,8.8,22.2,15.4,5.1,1.7,4.3,11.7,17.3,0.2,0.3,0.4,0.079,-3.5,-0.8,-4.3,-0.2
249,Omer Cohen,1,2015,27,SF,26.2,2.4,7,0.345,1.9,5.5,0.341,0.5,1.5,0.361,0.479,0.6,0.8,0.778,0.3,3.1,3.4,1.2,1,0.4,1,3.2,7.3,,,,,,,,,,,,,,,,,,,,
250,Dayan Cohen,1,2014,29,C,6.5,0.6,1.3,0.474,0,0,0,0.6,1.3,0.474,0.474,0.5,1.1,0.438,1.3,1.9,3.1,0.3,0.3,0.3,0.4,0.7,1.7,17,0.48,0,0.842,21.8,31,26.5,7.1,2.1,3.1,18.7,14.5,0.1,0.2,0.3,0.162,-0.7,0.5,-0.1,0
251,Oren Ohayon,0,2017,25,SG,21.2,1.2,4.6,0.268,0.7,2.7,0.25,0.6,1.9,0.294,0.341,0.7,1,0.667,0.4,2.7,3.1,1,0.7,0,0.2,1.6,3.8,4.7,0.378,0.585,0.22,2.2,13.3,7.7,6.3,1.5,0,4.3,10.9,-0.2,0.2,0,0.007,-4.7,1.6,-3.1,-0.1
252,Omer Oz,1,2021,22,SF,29.3,4.4,9.9,0.443,1.4,3.4,0.407,3,6.5,0.462,0.513,1,1.5,0.667,1.3,3.9,5.1,2,0.5,0.4,1.4,2.8,11.1,10.2,0.528,0.342,0.152,4.3,14.2,9.1,10.6,0.8,1.2,11.5,17.6,0,0.1,0.1,0.027,-2.8,-2,-4.8,-0.2
253,Doron Dahan,0,2021,30,SG,5.5,0.5,2,0.25,0,1.5,0,0.5,0.5,1,0.25,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,1,-0.4,0.25,0.75,0,10.6,0,5,0,4.4,0,20,19.8,-0.1,0,0,-0.212,-10.4,-2.2,-12.6,0
254,Itamar Itzhaki,1,2008,33,SF,5.2,0.5,1.5,0.333,0.2,0.3,0.5,0.3,1.2,0.286,0.389,0,0,0,1,0.8,1.8,0.5,0.2,0.2,0.5,0.8,1.2,10,0.389,0.222,0,22.4,17.2,19.7,13.4,1.6,2.3,25,17.1,0,0,0,0.037,-2.9,-1.5,-4.4,0
255,Gilad Galili,0,2019,27,PG,7.8,0.5,1.5,0.333,0.5,1.3,0.4,0,0.3,0,0.5,0,0,0,0.3,0.8,1,0.8,0,0.3,0.5,0.5,1.5,5.2,0.5,0.833,0,3.5,9.3,6.6,11.6,0,2.7,25,10.8,0,0,0,0.03,-3.3,-0.7,-4,0
256,Gilad Galili,0,2019,27,PG,13.6,1.6,4.1,0.379,1,2.7,0.368,0.6,1.4,0.4,0.5,0.6,0.6,1,0,0.7,0.7,2.7,0.3,0.1,0.6,0.6,4.7,12.3,0.536,0.655,0.138,0,5.7,2.8,26.9,1,0.9,11.5,15.4,0.1,0,0.2,0.079,0.7,-2,-1.3,0
257,Asaf Abergil,1,2022,32,PG,12.9,3.1,7.1,0.433,1.4,3.4,0.397,1.7,3.6,0.468,0.529,0.8,0.9,0.933,0.2,1.1,1.2,1.4,0.4,0.2,0.6,1.3,8.3,16,0.557,0.483,0.125,1.4,8.8,5.1,17,1.5,1.3,7.3,26.5,0.2,0.1,0.4,0.078,-0.1,-2.6,-2.7,0
258,Asaf Abergil,0,2022,32,PG,13,3,8,0.375,0,3,0,3,5,0.6,0.375,0,0,0,0,0,0,4,0,0,0,0,6,12.6,0.375,0.375,0,0,0,0,52.6,0,0,0,27.7,0,0,0,0.006,-0.6,-3.7,-4.2,0
